id,nome_completo,cpf,identidade,sexo,data_nascimento,idade,email,telefone_principal,telefone_secundario,pais,estado,cidade,cep,endereco,numero,complemento,bairro,data_cadastro,status,tipo_cliente,ultima_compra,valor_total_compras,categoria_favorita,newsletter
16,Tommy Rush,496.788.139-40,19.824.984-5,M,14/01/1972,53,tommy.rush@gmail.com,(81) 96756-5831,(41) 91983-4032,Brasil,SC,Florianópolis,02699901,Estrada Leão,9197,Casa 2,Vila Barragem Santa Lúcia,31/12/2024,Pendente,Novo,29/04/2024,48645.07,Eletrônicos,Não
17,William Yeary,760.103.945-50,10.840.635-3,M,05/08/1956,69,william.yeary@gmail.com,(91) 92023-4545,+1-707-417-7697x37760,Brasil,PE,Jaboatão dos Guararapes,95484-991,Colônia Souza,9836,Apto 101,Dona Clara,10/08/2024,Ativo,Premium,25/08/2025,45986.01,Livros,Sim
18,Dawn Reece,439.400.888-30,35.701.202-3,F,22/05/1948,77,dawn.reece@yahoo.com.br,(51) 96743-2873,+1-401-255-9421,Brasil,RS,Pelotas,69644-164,Vila de Rios,1896,,Santa Maria,05/11/2019,Ativo,VIP,08/06/2025,36324.63,Livros,Não
19,Kim Wolfe,146.146.652-00,52.020.213-2,F,28/01/1976,49,kim.wolfe@bol.com.br,(71) 93539-6985,(61) 90135-5288,Brasil,AC,Sena Madureira,12523534,Estrada de Jesus,3880,Casa 2,Bonsucesso,15/01/2025,Pendente,Regular,,34233.09,Beleza,Sim
20,Timothy Brandt,485.857.309-50,55.225.321-1,M,07/02/1951,74,timothy.brandt@yahoo.com.br,(51) 90090-1183,511-211-6886,Brasil,DF,Brasília,07978-002,Vila de Azevedo,2643,Casa 2,Ouro Preto,23/06/2022,Ativo,Premium,20/08/2024,48385.47,Esportes,Sim
21,Kenneth Bane,673.097.568-70,18.366.087-6,M,05/01/1972,53,kenneth.bane@outlook.com,(61) 98238-0010,(71) 92451-4018,Brasil,PE,Olinda,93981691,Estrada Rodrigues,1193,Sala 303,Conjunto Providencia,26/04/2020,Ativo,VIP,27/07/2025,19275.76,Beleza,Não
22,Elizabeth Welch,890.372.997-80,60.794.971-4,F,19/06/1949,76,elizabeth.welch@yahoo.com.br,(71) 98987-5789,(21) 93431-0437,Brasil,MG,Belo Horizonte,92710804,Chácara da Rosa,8039,Apto 101,Campo Alegre,29/01/2011,Pendente,Premium,26/08/2025,34147.05,Livros,Não
23,Ernestine Correll,621.407.848-00,72.722.756-7,F,26/10/1960,64,ernestine.correll@hotmail.com,(31) 95691-8772,(21) 94973-3976,Brasil,PA,Ananindeua,54382-966,Área Liz Pires,7052,Bloco B,Vila Bandeirantes,03/06/2017,Inativo,Novo,03/08/2024,35913.34,Casa,Não
24,Frankie Daves,212.040.655-30,75.367.732-5,M,08/02/1958,67,frankie.daves@hotmail.com,(21) 94816-3885,(71) 91366-0548,Brasil,DF,Brasília,02721-101,Parque Barbosa,4901,Sala 303,Conjunto Minas Caixa,15/07/2024,Inativo,Premium,28/06/2024,41659.85,Livros,Não
25,David Henderson,815.024.086-10,33.471.212-3,M,06/06/1965,60,david.henderson@gmail.com,+1-508-934-7223x518,,Japão,PW,Mollyton,39094,Sean Branch,355,Casa 2,side,05/03/2017,Ativo,Novo,10/11/2023,47667.83,Livros,Não
26,Rick Fletcher,685.801.933-20,96.789.018-0,M,12/03/1978,47,rick.fletcher@outlook.com,(91) 94168-3837,(283)424-4922x14706,Brasil,PI,Picos,78554-681,Praça Marques,1457,,Vila Betânia,05/06/2024,Pendente,VIP,26/09/2024,33866.06,Casa,Sim
27,Jimmy Jefferies,031.166.938-70,93.052.612-2,M,27/12/2004,20,jimmy.jefferies@gmail.com,+1-769-278-9348x47571,+1-681-337-6580x2201,Espanha,,Lauratown,76873,Sanchez Unions,2186,Casa 2,land,22/12/2024,Inativo,Premium,31/05/2024,37476.01,Casa,Não
28,Cynthia Dunham,270.877.933-80,64.071.512-4,F,05/04/1981,44,cynthia.dunham@gmail.com,(91) 94747-3950,(51) 93375-0153,Brasil,PE,Olinda,94032-982,Vale Fernando da Luz,2214,Sala 303,Aarão Reis,28/12/2021,Pendente,Regular,12/11/2024,28256.46,Eletrônicos,Sim
29,Daniel Uerkwitz,293.071.319-40,79.183.724-1,M,08/10/1976,48,daniel.uerkwitz@gmail.com,(61) 94471-2977,(11) 99215-8659,Brasil,DF,Brasília,77502-165,Vereda de Rodrigues,3224,Bloco B,Lorena,14/06/2023,Inativo,VIP,12/02/2024,23918.76,Beleza,Não
30,Charles Faunce,562.683.749-30,15.956.069-2,M,04/11/1977,47,charles.faunce@outlook.com,(81) 93640-0095,(81) 95223-7200,Brasil,AM,Itacoatiara,61286367,Morro Costela,1675,Bloco B,São Tomaz,18/09/2024,Pendente,VIP,30/10/2024,15747.48,Livros,Sim
31,Natalie Floyd,644.376.065-40,35.294.116-1,F,29/11/1966,58,natalie.floyd@gmail.com,(61) 90007-6006,(71) 90046-0962,Brasil,RN,Mossoró,84718-511,Conjunto de Sousa,561,Casa 2,Vila Rica,04/06/2023,Pendente,Premium,14/03/2024,40220.93,Esportes,Não
32,Lucille Manning,753.937.455-10,63.019.938-6,F,09/12/1971,53,lucille.manning@gmail.com,(51) 92774-7959,+1-943-618-4513x894,Brasil,RS,Pelotas,71177-772,Rua Garcia,1538,Casa 2,Vila Betânia,17/06/2021,Inativo,Premium,,20324.47,Eletrônicos,Sim
33,Jennifer Brown,700.848.665-00,33.433.436-4,F,25/04/1981,44,jennifer.brown@gmail.com,(91) 94059-6388,(31) 95005-4270,Brasil,PB,João Pessoa,38525-237,Jardim Antony Rodrigues,330,Sala 303,Luxemburgo,12/05/2019,Inativo,Novo,24/03/2024,19844.25,Beleza,Sim
34,Jeffrey Massey,380.127.765-80,85.671.433-5,M,25/09/1968,57,jeffrey.massey@hotmail.com,(91) 96075-4329,(41) 91406-4327,Brasil,PB,Santa Rita,29384033,Avenida Pacheco,6173,Apto 101,Novo Das Industrias,11/09/2025,Inativo,VIP,08/10/2024,19918.24,Esportes,Sim
35,David Craddock,026.042.713-60,17.199.997-6,M,29/09/1957,67,david.craddock@outlook.com,(41) 99888-7127,(31) 90187-6190,Brasil,PB,João Pessoa,31534999,Vila Lima,6613,Casa 2,Minas Brasil,19/02/2024,Ativo,Regular,06/08/2024,18145.89,Roupas,Não
36,Jennifer Ehsan,956.269.009-10,15.580.625-6,F,11/05/1957,68,jennifer.ehsan@hotmail.com,(91) 93344-9210,001-784-696-7580x635,Brasil,MG,Contagem,40907-021,Chácara Liz das Neves,5493,,Vila Sesc,23/12/2018,Ativo,VIP,14/06/2024,21627.59,Roupas,Sim
37,Edison Valdes,528.957.074-80,59.484.766-7,M,09/07/1955,70,edison.valdes@hotmail.com,(41) 90830-4660,(91) 91993-1033,Brasil,CE,Juazeiro do Norte,34098-726,Estrada Freitas,2198,Apto 101,Castanheira,08/04/2003,Pendente,Novo,,9518.45,Beleza,Não
38,Janice Griffis,203.618.841-90,76.840.527-0,F,19/07/1955,70,janice.griffis@hotmail.com,(81) 98200-0622,(21) 98311-1556,Brasil,AL,Arapiraca,35103544,Largo Pereira,8270,Apto 101,Jardim Dos Comerciarios,30/07/2021,Inativo,Novo,,16163.16,Beleza,Sim
39,Mary Crumb,946.231.861-10,47.189.494-8,F,14/02/2001,24,mary.crumb@gmail.com,863.762.7086x82101,826-912-2877,Japão,ND,Davidhaven,36775,Pena Forks,6379,Apto 101,burgh,21/12/2024,Inativo,Regular,05/06/2024,12078.4,Esportes,Sim
40,William Scott,233.211.584-60,95.955.956-0,M,21/11/1969,55,william.scott@bol.com.br,+1-267-843-3056x112,(695)459-4139x22133,Espanha,AR,New Sandrastad,41181,Mercado Haven,2376,,fort,19/07/2024,Ativo,VIP,,258.22,Livros,Não
41,Billie Gomez,411.272.036-00,32.892.801-8,M,08/11/1949,75,billie.gomez@yahoo.com.br,(41) 98838-5230,(61) 93956-8049,Brasil,AL,Arapiraca,92605-802,Largo de da Cruz,2517,Bloco B,Sion,11/06/2018,Inativo,VIP,02/11/2024,12580.3,Livros,Sim
42,Russell Friou,737.725.395-90,36.133.740-1,M,02/07/1995,30,russell.friou@bol.com.br,001-998-378-9257x618,609-530-7352,China,,Sharptown,76267,Paula Grove,7910,Bloco B,haven,02/10/2021,Pendente,Premium,23/01/2025,13012.56,Livros,Sim
43,Jacob House,176.938.172-40,42.710.210-8,M,30/01/1991,34,jacob.house@gmail.com,(91) 93763-4444,(61) 91252-1813,Brasil,BA,Salvador,59926-518,Setor Guilherme Abreu,4751,Bloco B,Conjunto Serra Verde,01/10/2023,Inativo,VIP,19/05/2025,18514.56,Esportes,Não
44,Rebecca Olds,741.950.103-30,13.453.797-6,F,18/08/2003,22,rebecca.olds@gmail.com,(71) 94653-2288,,Brasil,BA,Vitória da Conquista,90308-188,Passarela Théo Mendonça,8792,Casa 2,Marmiteiros,10/05/2025,Inativo,Premium,26/11/2024,17322.49,Casa,Não
45,Ronald Barlage,565.513.619-80,33.364.412-8,M,29/11/1965,59,ronald.barlage@outlook.com,(51) 99965-7311,(81) 95418-2131,Brasil,AC,Cruzeiro do Sul,73573188,Loteamento Jesus,7001,Apto 101,Virgínia,10/10/2008,Ativo,Novo,05/04/2025,22058.93,Casa,Sim
46,Michael Alexander,663.077.408-60,16.797.912-8,M,28/06/1987,38,michael.alexander@outlook.com,(91) 93672-3255,(91) 97746-5206,Brasil,ES,Vila Velha,41920-879,Vale Mendes,496,,Vila Petropolis,08/05/2016,Ativo,Novo,05/08/2025,15086.2,Beleza,Sim
47,Elizabeth Harkness,840.535.473-50,45.995.063-4,F,09/04/1992,33,elizabeth.harkness@yahoo.com.br,386.408.5741x222,354-669-4732,China,PW,Lake Jennifer,73331,Hall Grove,6493,,view,21/02/2023,Pendente,Regular,09/04/2025,27340.53,Livros,Não
48,Jonathan Suiter,642.824.798-40,11.113.294-0,M,15/10/1993,31,jonathan.suiter@outlook.com,(81) 92035-6206,(11) 99208-0183,Brasil,ES,Vitória,06706192,Condomínio Sá,6614,Sala 303,Coração Eucarístico,21/02/2023,Inativo,VIP,11/11/2023,24907.3,Roupas,Sim
49,Donna Schmucker,574.728.844-00,46.396.523-1,F,02/11/1974,50,donna.schmucker@bol.com.br,(21) 95614-0811,(51) 97787-7046,Brasil,ES,Vila Velha,65773-177,Feira de Fernandes,6180,Sala 303,Fernão Dias,22/11/2022,Ativo,VIP,03/01/2024,31193.42,Roupas,Não
50,Ruby Felts,160.831.911-30,93.499.660-5,F,18/08/1976,49,ruby.felts@yahoo.com.br,(21) 92243-0274,(41) 90950-2278,Brasil,AL,Rio Largo,58971562,Largo Miguel Leão,663,Casa 2,Diamante,06/08/2025,Inativo,VIP,21/06/2025,38469.15,Eletrônicos,Sim
51,Robert Sansone,297.881.728-30,14.611.205-6,M,06/10/1985,39,robert.sansone@bol.com.br,(41) 97180-9350,(51) 99689-2913,Brasil,SC,Joinville,57588041,Favela de Pimenta,8796,Apto 101,Vila Rica,20/01/2023,Ativo,Regular,,6620.67,Eletrônicos,Não
52,Wesley White,083.415.026-30,54.088.128-2,M,28/07/1965,60,wesley.white@hotmail.com,(61) 93628-3469,,Brasil,RN,Parnamirim,89243-067,Chácara da Luz,1168,Apto 101,Colégio Batista,17/04/2021,Pendente,Premium,,17147.18,Roupas,Sim
53,Jessie Boivin,091.926.853-60,06.736.092-1,F,11/02/1979,46,jessie.boivin@outlook.com,714.939.6409,,Espanha,MI,Markview,53357,Johnson Dale,2334,Sala 303,land,09/12/2024,Inativo,Premium,29/09/2023,30414.09,Eletrônicos,Não
54,Nathaniel Nicolls,123.691.065-60,81.139.543-8,M,22/09/1950,75,nathaniel.nicolls@yahoo.com.br,(61) 91012-8475,287.568.0218x188,Brasil,RN,Mossoró,52669-063,Vale Sá,2033,Casa 2,Vila São Gabriel Jacui,12/05/1991,Ativo,Premium,29/04/2024,8729.49,Esportes,Sim
55,George Shinn,065.740.814-00,39.037.572-1,M,14/03/1956,69,george.shinn@outlook.com,(51) 94035-0365,527.929.6759,Brasil,RS,Caxias do Sul,35695066,Ladeira Bruna Abreu,1052,Apto 101,Suzana,27/04/2018,Pendente,Novo,22/02/2024,27704.78,Eletrônicos,Não
56,Jerry Boyd,459.680.578-40,97.500.617-6,M,25/01/1996,29,jerry.boyd@yahoo.com.br,(51) 99016-6042,,Brasil,GO,Anápolis,94920-867,Vale Bento Pimenta,194,,Novo São Lucas,26/08/2024,Inativo,Novo,26/02/2024,14599.52,Casa,Não
57,Glen Lockett,957.733.779-10,78.193.852-6,M,31/01/1993,32,glen.lockett@outlook.com,(81) 96450-4083,(41) 95491-7405,Brasil,PI,Teresina,23473137,Passarela Silva,2390,Apto 101,Palmeiras,08/02/2018,Pendente,Regular,24/04/2024,17070.92,Beleza,Sim
58,Jason Widmer,755.054.686-00,62.602.864-5,M,18/12/1952,72,jason.widmer@outlook.com,(71) 98895-8795,(21) 95813-9340,Brasil,SP,São Paulo,39745596,Colônia Câmara,4852,Apto 101,Santa Rita,20/06/2022,Pendente,Premium,06/11/2024,19415.23,Eletrônicos,Não
59,Rosanna Brown,845.477.232-40,93.412.181-7,F,28/05/2001,24,rosanna.brown@outlook.com,(11) 94731-4794,7915945371,Brasil,AP,Santana,84846910,Setor Martins,3882,,São Francisco Das Chagas,01/11/2023,Inativo,Premium,04/05/2025,31968.29,Beleza,Sim
60,Amy Rainbolt,795.280.686-60,88.269.441-6,F,25/04/1961,64,amy.rainbolt@hotmail.com,(21) 95604-3401,(11) 92694-8822,Brasil,SE,Nossa Senhora do Socorro,05675467,Colônia Hadassa da Cunha,3879,Bloco B,Concórdia,27/04/2021,Pendente,Novo,06/02/2024,44837.34,Eletrônicos,Não
61,Susan Carn,725.541.197-50,84.765.163-9,F,15/09/1976,49,susan.carn@hotmail.com,(41) 97550-6038,(71) 91694-8042,Brasil,CE,Juazeiro do Norte,54290230,Trecho Pires,5282,Bloco B,Teixeira Dias,02/05/2021,Inativo,Premium,25/12/2023,17667.32,Casa,Não
62,Lisa Lebovic,396.940.482-70,87.745.986-6,F,07/10/1982,42,lisa.lebovic@bol.com.br,(11) 95378-3210,(91) 92726-4131,Brasil,PB,João Pessoa,94662-761,Praia Apollo Montenegro,2623,Casa 2,Santa Lúcia,17/06/2019,Pendente,Novo,06/10/2023,25354.23,Eletrônicos,Sim
63,Daniel Fox,443.527.040-40,11.424.459-8,M,13/10/1962,62,daniel.fox@gmail.com,(71) 94577-2550,(51) 97124-7040,Brasil,DF,Brasília,12007150,Praça Duarte,4268,Casa 2,Corumbiara,02/05/2024,Inativo,VIP,01/11/2024,38979.5,Roupas,Sim
64,Linda Crowder,701.716.183-10,84.564.987-0,F,18/08/2003,22,linda.crowder@outlook.com,722.760.3866,+1-777-746-0321x9147,Portugal,OR,Smithfurt,12070,Jennifer Landing,7932,Apto 101,mouth,12/08/2025,Pendente,Regular,11/07/2025,20992.45,Casa,Não
65,Matthew Gonzalez,760.262.287-10,94.087.017-1,M,03/03/1958,67,matthew.gonzalez@yahoo.com.br,(71) 95827-4050,(91) 90762-0437,Brasil,RN,Natal,44697-612,Recanto da Paz,6146,Apto 101,Vila Madre Gertrudes 1ª Seção,18/09/1984,Ativo,Novo,18/06/2025,15314.06,Eletrônicos,Sim
66,Vivian Dalton,976.624.972-50,04.284.052-4,F,21/12/1996,28,vivian.dalton@gmail.com,(21) 98009-2674,(81) 95428-5114,Brasil,RS,Caxias do Sul,28524-745,Setor de Novaes,3821,Casa 2,Engenho Nogueira,25/02/2023,Ativo,Regular,25/08/2025,38171.17,Esportes,Sim
67,Linda Brammer,317.764.553-10,91.070.802-1,F,20/10/1966,58,linda.brammer@hotmail.com,(21) 93652-8085,(61) 95437-1615,Brasil,PI,Teresina,75681-402,Lagoa de Ferreira,2467,Bloco B,São Bernardo,07/12/2022,Inativo,Novo,10/01/2024,46770.66,Roupas,Não
68,Robert Wright,077.138.314-20,84.077.626-1,M,06/08/1988,37,robert.wright@hotmail.com,(91) 98613-1701,(91) 93105-3488,Brasil,GO,Anápolis,98772643,Alameda Caroline Nascimento,714,Casa 2,Antonio Ribeiro De Abreu 1ª Seção,03/11/2023,Pendente,VIP,16/04/2024,42109.44,Esportes,Sim
69,Rachel Duke,045.030.807-30,91.369.815-6,F,18/02/1958,67,rachel.duke@yahoo.com.br,(41) 99218-9882,(61) 99230-3519,Brasil,CE,Juazeiro do Norte,43804-316,Esplanada de Cavalcanti,4025,,Vila Bandeirantes,04/05/1998,Ativo,Regular,20/09/2024,34179.42,Esportes,Não
70,Vanessa Howard,910.299.832-70,64.332.213-2,F,28/02/1994,31,vanessa.howard@bol.com.br,(91) 96935-5122,,Brasil,AM,Parintins,67089933,Rodovia de Cardoso,1827,Casa 2,Paulo Vi,02/09/2024,Inativo,Novo,12/06/2024,48325.88,Esportes,Sim
71,Denise Bruce,948.191.169-10,28.335.751-2,F,26/09/1976,49,denise.bruce@gmail.com,(71) 92890-7911,(31) 91156-9105,Brasil,RR,Boa Vista,15045495,Alameda de Cassiano,2463,Sala 303,Chácara Leonina,10/10/2015,Pendente,Premium,09/08/2025,48463.8,Beleza,Não
72,Stephen Hunt,528.878.407-80,48.327.532-9,M,27/03/1980,45,stephen.hunt@outlook.com,(21) 91377-6976,(91) 95326-7570,Brasil,MA,Timon,05968527,Esplanada Ravi Lucca Siqueira,2069,Casa 2,São Jorge 3ª Seção,09/11/2023,Ativo,Regular,,12505.24,Livros,Sim
73,Blanca Alvarez,343.108.376-50,65.505.788-3,F,24/09/1959,66,blanca.alvarez@outlook.com,(31) 91226-5953,(91) 97750-4286,Brasil,BA,Feira de Santana,77487-925,Fazenda Costela,8823,,Vila Nova Cachoeirinha 2ª Seção,05/04/2013,Ativo,Novo,10/06/2024,27994.04,Esportes,Não
74,Edward Gray,037.015.768-00,82.012.288-4,M,17/06/1985,40,edward.gray@hotmail.com,(395)837-3900x8631,,Canadá,VA,South Staceytown,24775,Jones Estate,6463,Bloco B,view,13/11/2023,Pendente,Regular,15/12/2023,38430.72,Livros,Sim
75,Wanda Lang,204.280.039-20,87.946.817-5,F,14/03/2007,18,wanda.lang@yahoo.com.br,(81) 96619-1959,(61) 92226-4188,Brasil,GO,Aparecida de Goiânia,21441-469,Lagoa de Macedo,9021,Sala 303,Jardim Atlântico,09/03/2025,Inativo,VIP,,19689.26,Beleza,Não
76,Krystal Maze,506.813.429-50,96.595.286-8,F,01/01/1978,47,krystal.maze@bol.com.br,001-949-328-1107,,França,FM,Port Latoya,88960,Michelle Pine,4280,Bloco B,ton,26/10/2011,Ativo,Novo,,47301.98,Casa,Sim
77,Claretta Webster,304.153.020-10,83.817.452-0,F,14/10/1953,71,claretta.webster@gmail.com,(81) 96724-7736,(91) 94404-4298,Brasil,RN,Natal,30887608,Praça Teixeira,7969,Sala 303,Minaslandia,09/09/2018,Pendente,Regular,06/01/2025,13642.46,Eletrônicos,Sim
78,Henry Hicks,505.489.583-30,68.452.808-9,M,31/08/1953,72,henry.hicks@hotmail.com,(21) 90862-3690,(91) 99729-7127,Brasil,RS,Caxias do Sul,97747289,Quadra Benício Mendes,9098,Casa 2,Vila Santa Rosa,02/07/2004,Ativo,Novo,,48679.77,Livros,Sim
79,Katherine Batten,313.625.209-80,05.354.493-5,F,08/10/1999,25,katherine.batten@bol.com.br,(31) 93070-7213,(51) 90479-7851,Brasil,SP,Campinas,04694401,Pátio Ísis Cavalcante,1390,Sala 303,Vila Nova Cachoeirinha 1ª Seção,29/06/2022,Ativo,VIP,,1477.68,Livros,Não
80,James Bryan,410.650.818-40,83.377.841-3,M,06/02/1948,77,james.bryan@bol.com.br,(71) 98776-8274,665.912.5462x0007,Brasil,MA,São Luís,94452-695,Lago Valentim Cassiano,4399,Casa 2,Candelaria,05/11/2000,Pendente,Premium,12/10/2023,33968.51,Beleza,Sim
81,Jamie Boyer,860.708.656-10,04.112.016-4,F,08/07/1956,69,jamie.boyer@yahoo.com.br,(51) 98168-7132,(91) 93581-4303,Brasil,GO,Goiânia,45090-082,Condomínio Brito,9504,Casa 2,Jardim Atlântico,18/06/2023,Ativo,VIP,30/06/2025,31557.22,Casa,Sim
82,Kenneth Lutz,202.191.926-90,98.496.227-5,M,27/08/1970,55,kenneth.lutz@outlook.com,(51) 92133-7444,(51) 90530-3204,Brasil,AM,Itacoatiara,96297-598,Estação Borges,2133,Casa 2,Bandeirantes,06/01/1996,Ativo,VIP,03/05/2024,8420.38,Roupas,Sim
83,Virginia Kattner,953.429.219-20,28.231.114-6,F,05/02/1962,63,virginia.kattner@hotmail.com,(81) 91428-2330,(51) 98443-4925,Brasil,RN,Parnamirim,74130451,Viela Ana Cecília da Cruz,2328,Sala 303,Mala E Cuia,06/02/2017,Inativo,VIP,03/01/2024,12908.31,Esportes,Sim
84,Tim Cox,480.180.969-30,88.354.743-9,M,21/06/1981,44,tim.cox@yahoo.com.br,495-235-2757x944,551.872.4068,Austrália,,Port Brian,66846,Anthony Pike,384,Bloco B,berg,30/09/2022,Pendente,Novo,19/01/2024,49641.55,Eletrônicos,Não
85,Allen Thomas,979.127.075-90,99.171.181-8,M,30/01/1988,37,allen.thomas@bol.com.br,(91) 99032-6472,,Brasil,GO,Goiânia,87880-899,Distrito Ágatha Sales,4419,,Milionario,08/01/2024,Inativo,VIP,,19891.63,Beleza,Não
86,Doris Reason,161.238.379-30,46.177.464-5,F,22/09/2001,24,doris.reason@outlook.com,(61) 93571-0868,610-813-4605x1284,Brasil,RO,Porto Velho,73279-986,Favela Isaac Garcia,6564,,Nossa Senhora Da Conceição,23/10/2020,Ativo,Premium,,32232.56,Roupas,Sim
87,Johnathon Solomon,596.132.129-00,71.678.980-5,M,29/04/1966,59,johnathon.solomon@yahoo.com.br,(61) 96951-7157,(91) 98171-0759,Brasil,PR,Londrina,23642-210,Rua Ana Beatriz Monteiro,9239,Apto 101,Vila Boa Vista,01/09/1994,Pendente,Premium,04/11/2023,41871.93,Beleza,Sim
88,Stephanie Wireman,509.882.452-40,54.264.749-3,F,04/03/1945,80,stephanie.wireman@outlook.com,(41) 96400-8166,(11) 96343-1030,Brasil,SP,São Paulo,04501668,Fazenda Vicente Fernandes,6691,Casa 2,Bela Vitoria,14/04/2008,Inativo,Premium,27/08/2024,11377.97,Beleza,Sim
89,Melanie Stanford,521.782.290-20,01.249.003-0,F,28/05/1977,48,melanie.stanford@hotmail.com,(81) 92123-6725,(11) 92270-9189,Brasil,PE,Recife,88421548,Estrada de Santos,6295,Bloco B,Vila Olhos D'água,10/01/2019,Pendente,Novo,18/06/2025,6693.04,Eletrônicos,Não
90,Lisa Mcfarling,863.408.752-20,83.041.127-2,F,27/10/1991,33,lisa.mcfarling@bol.com.br,(41) 90092-5070,(41) 98427-8760,Brasil,SP,São Paulo,65013766,Viela de Andrade,8194,Sala 303,Conjunto Serra Verde,26/12/2020,Inativo,VIP,02/09/2024,11051.68,Casa,Sim
